自动化用例编号, 用例类型, 用例名称, 断言依据, 用例执行结果, 用例执行时间
TCL开机logo和开机动画对比, TCL开机logo和开机动画对比, TCL开机logo和开机动画对比, 内容过长，详见打印, NG, 02:29:12
自动化用例编号, 用例类型, 用例名称, 断言依据, 用例执行结果, 用例执行时间
TCL开机logo和开机动画对比, TCL开机logo和开机动画对比, TCL开机logo和开机动画对比, 内容过长，详见打印, NG, 04:00:20
自动化用例编号, 用例类型, 用例名称, 断言依据, 用例执行结果, 用例执行时间
TCL开机logo和开机动画对比, TCL开机logo和开机动画对比, TCL开机logo和开机动画对比, 失败SID：0、21、98, NG, 17:31:13
自动化用例编号, 用例类型, 用例名称, 断言依据, 用例执行结果, 用例执行时间
TCL开机logo和开机动画对比, TCL开机logo和开机动画对比, TCL开机logo和开机动画对比, 共3个SID的开机logo与开机动画对比全部通过, OK, 21:35:11
自动化用例编号, 用例类型, 用例名称, 断言依据, 用例执行结果, 用例执行时间
TCL开机logo和开机动画对比, TCL开机logo和开机动画对比, TCL开机logo和开机动画对比, 失败SID：21, NG, 22:58:12
自动化用例编号, 用例类型, 用例名称, 断言依据, 用例执行结果, 用例执行时间
TCL开机logo和开机动画对比, TCL开机logo和开机动画对比, TCL开机logo和开机动画对比, 内容过长，详见打印, NG, 01:09:45
自动化用例编号, 用例类型, 用例名称, 断言依据, 用例执行结果, 用例执行时间
TCL开机logo和开机动画对比, TCL开机logo和开机动画对比, TCL开机logo和开机动画对比, 内容过长，详见打印, NG, 01:50:56
